Player,Team,RAA,Wins,EFscore,Salary,Value
Mohammed Shami,Kings XI Punjab,105,0.355,0.146,685700.0,1101897.0
MP Stoinis,Delhi Capitals,104,0.353,0.153,685700.0,1098988.0
AT Rayudu,Chennai Super Kings,104,0.35,0.096,343750.0,1094625.0
Q de Kock,Mumbai Indians,101,0.341,0.124,437500.0,1081536.0
A Nortje,Delhi Capitals,101,0.34,0.16,28600.0,1080081.0
L Ngidi,Chennai Super Kings,96,0.325,0.073,78130.0,1058266.0
MK Pandey,Sunrisers Hyderabad,85,0.28600000000000003,0.115,1718750.0,1001545.0
Mohammed Siraj,Royal Challengers Bangalore,78,0.263,0.07400000000000001,406250.0,968094.0
D Padikkal,Royal Challengers Bangalore,76,0.256,0.10099999999999999,28600.0,957913.0
Gurkeerat Singh,Royal Challengers Bangalore,71,0.24,0.052000000000000005,71400.0,934643.0
LH Ferguson,Kolkata Knight Riders,70,0.237,0.073,228600.0,930280.0
N Pooran,Kings XI Punjab,69,0.23399999999999999,0.081,600000.0,925917.0
DJ Hooda,Kings XI Punjab,64,0.215,0.046,71400.0,898284.0
KA Pollard,Mumbai Indians,62,0.20800000000000002,0.107,843750.0,888103.0
RR Pant,Delhi Capitals,59,0.2,0.084,2343750.0,876468.0
M Ashwin,Kings XI Punjab,55,0.185,0.071,28600.0,854652.0
HH Pandya,Mumbai Indians,54,0.183,0.062,1718750.0,851743.0
R Tewatia,Rajasthan Royals,52,0.177,0.14300000000000002,430000.0,843017.0
JC Buttler,Rajasthan Royals,44,0.15,0.091,687500.0,803749.0
CH Morris,Royal Challengers Bangalore,37,0.124,0.099,1718750.0,765935.0
SV Samson,Rajasthan Royals,35,0.11699999999999999,0.087,1250000.0,755754.0
JM Bairstow,Sunrisers Hyderabad,33,0.111,0.063,314300.0,747028.0
V Shankar,Sunrisers Hyderabad,20,0.068,0.06,500000.0,684490.0
Arshdeep Singh,Kings XI Punjab,19,0.064,0.064,28600.0,678672.0
SR Watson,Chennai Super Kings,15,0.052000000000000005,0.071,625000.0,661219.0
Shahbaz Ahmed,Royal Challengers Bangalore,15,0.05,0.018000000000000002,28600.0,658311.0
A Mishra,Delhi Capitals,14,0.048,0.026000000000000002,625000.0,655402.0
N Jagadeesan,Chennai Super Kings,5,0.016,0.012,31250.0,608862.0
MJ Santner,Chennai Super Kings,4,0.013000000000000001,0.012,78130.0,604499.0
Shivam Mavi,Kolkata Knight Riders,3,0.009000000000000001,0.062,468750.0,598681.0
MS Dhoni,Chennai Super Kings,1,0.005,0.049,2343750.0,592864.0
SN Thakur,Chennai Super Kings,1,0.005,0.083,406250.0,592864.0
S Dube,Royal Challengers Bangalore,0,0.001,0.044000000000000004,714300.0,587046.0
RD Chahar,Mumbai Indians,0,-0.002,0.1,296880.0,582683.0
SPD Smith,Rajasthan Royals,-1,-0.004,0.079,1953130.0,579774.0
SM Curran,Chennai Super Kings,-3,-0.011000000000000001,0.124,785700.0,569593.0
S Kaul,Sunrisers Hyderabad,-5,-0.018000000000000002,0.013999999999999999,593750.0,559413.0
RG Sharma,Mumbai Indians,-8,-0.028999999999999998,0.063,2343750.0,543415.0
BA Stokes,Rajasthan Royals,-9,-0.03,0.1,1953130.0,541960.0
Mohammad Nabi,Sunrisers Hyderabad,-9,-0.03,0.005,156250.0,541960.0
KK Ahmed,Sunrisers Hyderabad,-11,-0.037000000000000005,0.051,468750.0,531779.0
JL Pattinson,Mumbai Indians,-12,-0.042,0.066,100000.0,524508.0
J Yadav,Mumbai Indians,-15,-0.049,0.011000000000000001,78130.0,514327.0
MM Sharma,Delhi Capitals,-16,-0.053,0.006999999999999999,71400.0,508509.0
Monu Kumar,Chennai Super Kings,-16,-0.054000000000000006,0.001,31250.0,507055.0
Sandeep Sharma,Sunrisers Hyderabad,-17,-0.055999999999999994,0.107,468750.0,504146.0
DS Kulkarni,Mumbai Indians,-17,-0.057,0.004,110000.0,502692.0
RK Singh,Kolkata Knight Riders,-17,-0.059000000000000004,0.002,125000.0,499783.0
Basil Thampi,Sunrisers Hyderabad,-18,-0.06,0.005,148440.0,498329.0
PP Chawla,Chennai Super Kings,-19,-0.063,0.038,964300.0,493966.0
KV Sharma,Chennai Super Kings,-19,-0.065,0.025,478000.0,491057.0
SS Cottrell,Kings XI Punjab,-19,-0.065,0.051,1214300.0,491057.0
KM Jadhav,Chennai Super Kings,-23,-0.078,0.013999999999999999,1218750.0,472150.0
SN Khan,Kings XI Punjab,-24,-0.08,0.009000000000000001,35700.0,469241.0
CJ Green,Kolkata Knight Riders,-24,-0.081,0.001,28600.0,467787.0
I Sharma,Delhi Capitals,-24,-0.081,0.001,157100.0,467787.0
AT Carey,Delhi Capitals,-25,-0.084,0.009000000000000001,342900.0,463424.0
MK Lomror,Rajasthan Royals,-26,-0.08800000000000001,0.011000000000000001,31250.0,457606.0
NS Naik,Kolkata Knight Riders,-27,-0.092,0.0,28600.0,451788.0
S Sandeep Warrier,Kolkata Knight Riders,-31,-0.105,0.002,16000.0,432882.0
A Zampa,Royal Challengers Bangalore,-34,-0.11599999999999999,0.015,45000.0,416883.0
MR Marsh,Sunrisers Hyderabad,-34,-0.11599999999999999,0.0,285700.0,416883.0
Imran Tahir,Chennai Super Kings,-35,-0.11699999999999999,0.015,156250.0,415429.0
JR Hazlewood,Chennai Super Kings,-35,-0.11699999999999999,0.011000000000000001,285700.0,415429.0
T Natarajan,Sunrisers Hyderabad,-35,-0.11900000000000001,0.121,62500.0,412520.0
JR Philippe,Royal Challengers Bangalore,-35,-0.12,0.021,28600.0,411066.0
N Rana,Kolkata Knight Riders,-39,-0.131,0.076,531250.0,395068.0
SS Tiwary,Mumbai Indians,-39,-0.131,0.021,71400.0,395068.0
T Banton,Kolkata Knight Riders,-39,-0.131,0.001,142900.0,395068.0
B Kumar,Sunrisers Hyderabad,-39,-0.133,0.021,1328130.0,392159.0
Harpreet Brar,Kings XI Punjab,-40,-0.135,0.002,28600.0,389250.0
Mandeep Singh,Kings XI Punjab,-40,-0.136,0.027999999999999997,218750.0,387796.0
KK Nair,Kings XI Punjab,-41,-0.138,0.002,875000.0,384887.0
AJ Tye,Rajasthan Royals,-41,-0.139,0.006,142900.0,383433.0
Avesh Khan,Delhi Capitals,-41,-0.139,0.001,109380.0,383433.0
Prabhsimran Singh,Kings XI Punjab,-42,-0.141,0.002,78600.0,380524.0
K Gowtham,Kings XI Punjab,-42,-0.142,0.021,900000.0,379069.0
SO Hetmyer,Delhi Capitals,-42,-0.142,0.038,1107100.0,379069.0
Ravi Bishnoi,Kings XI Punjab,-43,-0.145,0.08900000000000001,285700.0,374706.0
M Prasidh Krishna,Kolkata Knight Riders,-45,-0.15,0.021,15620.0,367434.0
YBK Jaiswal,Rajasthan Royals,-45,-0.152,0.008,342900.0,364526.0
Kuldeep Yadav,Kolkata Knight Riders,-48,-0.161,0.012,906250.0,351436.0
DJ Bravo,Chennai Super Kings,-51,-0.171,0.037000000000000005,1000000.0,336892.0
S Nadeem,Sunrisers Hyderabad,-53,-0.177,0.028999999999999998,500000.0,328166.0
M Vijay,Chennai Super Kings,-53,-0.179,0.006,312500.0,325257.0
RA Tripathi,Kolkata Knight Riders,-54,-0.18100000000000002,0.05,85700.0,322348.0
RA Jadeja,Chennai Super Kings,-55,-0.185,0.08900000000000001,1093750.0,316531.0
MM Ali,Royal Challengers Bangalore,-56,-0.19,0.01,265630.0,309259.0
NM Coulter-Nile,Mumbai Indians,-57,-0.191,0.045,1142900.0,307805.0
SP Goswami,Sunrisers Hyderabad,-57,-0.192,0.0,156250.0,306350.0
TK Curran,Rajasthan Royals,-61,-0.207,0.037000000000000005,142900.0,284535.0
DL Chahar,Chennai Super Kings,-63,-0.213,0.08900000000000001,125000.0,275808.0
